Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP0,pass_1/3,PPA,CrsPA,Prog,Matches
166,Gareth Bale\Gareth-Bale,wal WAL,FW,Real Madrid,es La Liga,29,1989,19.8,28.7,39.5,72.7,497.6,109.3,0.56,1.57,35.5,23.5,29.8,78.8,4.65,8.13,57.1,0.15,0.11,0.04,0.86,2.12,1.16,0.51,3.28,Matches
167,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,1988,5.8,30.0,39.7,75.7,515.3,189.5,0.34,1.21,28.6,24.3,28.6,84.9,5.34,9.83,54.4,0.00,0.07,-0.07,0.52,1.55,0.52,0.17,4.83,Matches
168,Andrija Balić\Andrija-Balic,hr CRO,FWMF,Udinese,it Serie A,20,1997,0.3,80.0,83.3,96.0,1496.7,323.3,0.00,0.00,,66.7,66.7,100.0,13.3,16.7,80.0,0.00,0.33,-0.33,3.33,0.00,3.33,0.00,3.33,Matches
169,Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Lille,fr Ligue 1,21,1997,17.7,32.8,43.8,74.8,527.3,218.4,0.40,1.36,29.2,28.1,34.6,81.2,4.29,7.85,54.7,0.06,0.06,-0.01,0.40,3.39,0.56,0.23,4.35,Matches
170,Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Monaco,fr Ligue 1,21,1997,17.7,35.8,47.2,75.8,632.8,245.6,0.28,1.69,16.7,29.0,34.4,84.2,6.50,11.1,58.7,0.17,0.15,0.02,1.19,2.66,1.07,0.79,6.50,Matches
171,Florent Balmont\Florent-Balmont,fr FRA,MF,Dijon,fr Ligue 1,38,1980,12.0,48.3,59.3,81.4,877.6,286.9,0.58,1.58,36.8,38.1,41.9,90.9,9.58,15.8,60.8,0.08,0.07,0.01,1.33,6.33,1.08,0.33,6.75,Matches
172,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,6.6,26.4,33.0,79.8,597.7,134.5,1.36,1.82,75.0,14.8,17.6,84.5,10.2,13.6,74.4,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.61,Matches
173,Mario Balotelli\Mario-Balotelli,it ITA,FW,Nice,fr Ligue 1,27,1990,8.4,20.0,28.2,70.9,357.9,48.2,0.24,0.71,33.3,15.4,20.0,76.8,4.40,7.50,58.7,0.12,0.12,0.00,0.95,0.71,0.24,0.12,1.31,Matches
174,Mario Balotelli\Mario-Balotelli,it ITA,FW,Marseille,fr Ligue 1,27,1990,10.4,15.2,22.1,68.7,270.2,42.3,0.58,1.54,37.5,11.6,15.5,75.2,2.98,5.10,58.5,0.00,0.03,-0.03,0.58,1.44,0.10,0.00,1.15,Matches
175,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,28,1990,28.6,34.1,44.6,76.5,568.2,254.1,0.28,1.33,21.1,29.5,34.1,86.5,4.37,9.20,47.5,0.14,0.05,0.09,0.59,2.13,0.70,0.35,5.52,Matches
176,Jonathan Bamba\Jonathan-Bamba,fr FRA,FWMF,Lille,fr Ligue 1,22,1996,33.4,28.8,36.6,78.6,456.9,133.1,0.96,2.22,43.2,24.2,28.3,85.6,3.65,6.17,59.2,0.09,0.17,-0.08,1.29,2.34,1.11,0.30,3.92,Matches
177,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,eng Premier League,33,1985,27.5,14.4,21.1,68.4,328.3,125.9,0.07,0.47,15.4,9.05,12.3,73.9,5.31,8.36,63.5,0.04,0.01,0.03,0.15,1.56,0.11,0.00,1.71,Matches
178,Yacine Bammou\Yacine-Bammou,ma MAR,FWMF,Caen,fr Ligue 1,26,1991,10.3,22.0,30.8,71.6,332.3,79.9,0.39,2.04,19.0,19.0,22.5,84.5,2.62,6.21,42.2,0.00,0.05,-0.05,0.68,0.19,0.58,0.39,2.52,Matches
