Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,0.05,0.00,0.00,0.62,0.09,0.00,15.4,0.62,0.09,0.08,0.50,0.02,0.02,0.04,0.02,0.02,Matches
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,0.64,0.00,0.00,3.12,1.21,0.00,38.6,3.13,1.21,0.20,0.53,0.53,0.53,0.18,0.11,0.11,Matches
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,0.06,0.00,0.00,0.42,0.12,0.00,28.6,0.42,0.12,0.14,0.50,0.05,0.05,0.13,0.01,0.01,Matches
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,0.18,0.05,0.05,3.17,0.59,0.36,18.6,3.17,0.59,0.04,0.23,0.20,0.16,0.05,-0.02,-0.03,Matches
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,0.05,0.00,0.00,0.16,0.05,0.00,33.3,0.16,0.05,0.33,1.00,0.01,0.01,0.07,0.04,0.04,Matches
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,0.05,0.00,0.00,0.60,0.22,0.00,36.4,0.60,0.22,0.09,0.25,0.02,0.02,0.03,0.04,0.04,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,0.11,0.00,0.00,1.05,0.39,0.00,36.8,1.05,0.39,0.11,0.29,0.06,0.06,0.05,0.06,0.06,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,1.33,0.07,0.07,3.78,1.93,0.44,51.0,3.79,1.93,0.33,0.65,0.67,0.61,0.16,0.66,0.64,Matches
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,20.8,0.05,0.00,0.00,0.72,0.14,0.05,20.0,0.72,0.14,0.07,0.33,0.04,0.04,0.05,0.01,0.01,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,0.07,0.00,0.00,0.86,0.22,0.04,26.1,0.86,0.22,0.09,0.33,0.08,0.08,0.09,-0.00,-0.00,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,0.09,0.00,0.03,1.57,0.36,0.33,23.1,1.57,0.36,0.06,0.25,0.10,0.07,0.05,-0.01,0.02,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,0.00,0.00,0.00,0.52,0.18,0.00,35.3,0.52,0.18,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,0.00,0.00,0.00,1.88,1.25,0.00,66.7,1.93,1.29,0.00,0.00,0.13,0.13,0.08,-0.13,-0.13,Matches
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,0.00,0.00,0.00,0.63,0.00,0.00,0.0,0.62,0.00,0.00,,0.06,0.06,0.05,-0.06,-0.06,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,0.28,0.00,0.00,1.97,0.42,0.00,21.4,1.98,0.42,0.14,0.67,0.21,0.21,0.11,0.07,0.07,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,0.04,0.00,0.00,1.06,0.33,0.33,31.0,1.06,0.33,0.03,0.11,0.05,0.05,0.05,-0.01,-0.01,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,0.36,0.00,0.00,3.60,1.44,0.29,40.0,3.59,1.44,0.10,0.25,0.36,0.36,0.10,0.00,0.00,Matches
