Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1548,Andrea Masiello\Andrea-Masiello,it ITA,DF,Atalanta,it Serie A,32,1986,20.4,0.00,0.00,0.00,0.39,0.05,0.00,12.5,0.39,0.05,0.00,0.00,0.05,0.05,0.12,-0.05,-0.05,Matches
1549,Adam Masina\Adam-Masina,it ITA,DF,Watford,eng Premier League,24,1994,11.2,0.00,0.00,0.00,0.27,0.00,0.00,0.0,0.27,0.00,0.00,,0.01,0.01,0.02,-0.01,-0.01,Matches
1550,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,29,1989,35.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1551,Han-Noah Massengo\Han-Noah-Massengo,fr FRA,FWMF,Monaco,fr Ligue 1,17,2001,0.7,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1552,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,eng Premier League,24,1993,19.5,0.00,0.00,0.00,0.21,0.05,0.00,25.0,0.20,0.05,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
1553,Jaime Mata\Jaime-Mata,es ESP,FWMF,Getafe,es La Liga,29,1988,27.0,0.52,0.15,0.15,2.00,0.74,0.00,37.0,2.00,0.74,0.19,0.50,0.44,0.33,0.17,0.07,0.04,Matches
1554,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,eng Premier League,30,1988,14.3,0.21,0.00,0.00,1.33,0.42,0.21,31.6,1.33,0.42,0.16,0.50,0.10,0.10,0.08,0.10,0.10,Matches
1555,Luca Matarese\Luca-Matarese,it ITA,FW,Frosinone,it Serie A,20,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1556,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,de Bundesliga,21,1997,27.6,0.51,0.00,0.00,3.48,1.23,0.00,35.4,3.48,1.23,0.15,0.41,0.42,0.42,0.12,0.09,0.09,Matches
1557,Christian Mathenia\Christian-Mathenia,de GER,GK,Nürnberg,de Bundesliga,26,1992,21.5,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1558,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,eng Premier League,29,1988,27.1,0.04,0.00,0.00,0.44,0.11,0.00,25.0,0.44,0.11,0.08,0.33,0.06,0.06,0.14,-0.02,-0.02,Matches
1559,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,eng Premier League,26,1991,17.1,0.06,0.00,0.00,0.47,0.12,0.00,25.0,0.47,0.12,0.13,0.50,0.04,0.04,0.08,0.02,0.02,Matches
1560,Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,de Bundesliga,17,2000,2.1,0.00,0.00,0.00,1.43,0.48,0.00,33.3,1.43,0.48,0.00,0.00,0.24,0.24,0.17,-0.24,-0.24,Matches
1561,Alessandro Matri\Alessandro-Matri,it ITA,FW,Sassuolo,it Serie A,33,1984,6.7,0.30,0.00,0.00,2.09,1.34,0.00,64.3,2.09,1.34,0.14,0.22,0.43,0.43,0.21,-0.13,-0.13,Matches
1562,Federico Mattiello\Federico-Mattiello,it ITA,MFDF,Bologna,it Serie A,23,1995,14.8,0.07,0.00,0.00,0.74,0.34,0.00,45.5,0.74,0.34,0.09,0.20,0.03,0.03,0.04,0.04,0.04,Matches
1563,Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,Juventus,it Serie A,31,1987,26.9,0.11,0.00,0.00,0.63,0.22,0.00,35.3,0.63,0.22,0.18,0.50,0.06,0.06,0.09,0.05,0.05,Matches
1564,José Mauri\Jose-Mauri,it ITA,MF,Milan,it Serie A,22,1996,2.3,0.00,0.00,0.00,1.74,0.00,0.00,0.0,1.73,0.00,0.00,,0.04,0.04,0.03,-0.04,-0.04,Matches
1565,Stephy Mavididi\Stephy-Mavididi,eng ENG,FW,Juventus,it Serie A,20,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1566,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Arsenal,eng Premier League,20,1997,1.6,0.00,0.00,0.00,0.63,0.00,0.00,0.0,0.61,0.00,0.00,,0.06,0.06,0.05,-0.06,-0.06,Matches
1567,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Fulham,eng Premier League,24,1994,12.6,0.00,0.00,0.00,0.16,0.08,0.00,50.0,0.16,0.08,0.00,0.00,0.01,0.01,0.06,-0.01,-0.01,Matches
1568,Philipp Max\Philipp-Max,de GER,DFMF,Augsburg,de Bundesliga,24,1993,28.5,0.14,0.00,0.00,0.88,0.46,0.11,52.0,0.88,0.46,0.16,0.31,0.07,0.07,0.08,0.07,0.07,Matches
1569,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Paris S-G,fr Ligue 1,29,1989,8.9,0.34,0.00,0.00,3.15,0.56,0.00,17.9,3.14,0.56,0.11,0.60,0.54,0.54,0.17,-0.20,-0.20,Matches
1570,Alexandru Maxim\Alexandru-Maxim,ro ROU,MF,Mainz 05,de Bundesliga,28,1990,6.4,0.16,0.00,0.00,2.50,0.31,0.31,12.5,2.49,0.31,0.06,0.50,0.11,0.11,0.04,0.05,0.05,Matches
1571,Borja Mayoral\Borja-Mayoral,es ESP,FW,Levante,es La Liga,21,1997,18.0,0.17,0.00,0.00,1.33,0.83,0.00,62.5,1.33,0.83,0.13,0.20,0.19,0.19,0.14,-0.03,-0.03,Matches
1572,Róbert Mazáň\Robert-Mazan,sk SVK,DF,Celta Vigo,es La Liga,24,1994,1.0,0.00,0.00,0.00,1.00,0.00,0.00,0.0,1.00,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,Matches
1573,Luca Mazzitelli\Luca-Mazzitelli,it ITA,MFFW,Genoa,it Serie A,22,1995,3.6,0.00,0.00,0.00,1.39,0.00,0.00,0.0,1.39,0.00,0.00,,0.11,0.11,0.09,-0.11,-0.11,Matches
1574,Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,Paris S-G,fr Ligue 1,19,1998,26.0,1.27,0.04,0.08,4.65,2.50,0.04,53.7,4.65,2.50,0.26,0.49,1.03,0.97,0.21,0.23,0.26,Matches
1575,Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,it Serie A,23,1994,22.3,0.09,0.00,0.00,0.54,0.13,0.00,25.0,0.54,0.13,0.17,0.67,0.09,0.09,0.17,0.00,0.00,Matches
1576,Loïc Mbe Soh\Loic-Mbe-Soh,fr FRA,DF,Paris S-G,fr Ligue 1,17,2001,2.0,0.00,0.00,0.00,0.50,0.00,0.00,0.0,0.50,0.00,0.00,,0.15,0.15,0.34,-0.15,-0.15,Matches
1577,Nolan Mbemba\Nolan-Mbemba,fr FRA,MFDF,Reims,fr Ligue 1,23,1995,4.0,0.00,0.00,0.00,1.00,0.00,0.00,0.0,1.01,0.00,0.00,,0.03,0.03,0.03,-0.03,-0.03,Matches
1578,Adama Mbengue\Adama-Mbengue,sn SEN,DF,Caen,fr Ligue 1,24,1993,8.2,0.00,0.00,0.00,1.22,0.00,0.00,0.0,1.22,0.00,0.00,,0.02,0.02,0.02,-0.02,-0.02,Matches
1579,Isaac Mbenza\Isaac-Mbenza,be BEL,FWMF,Huddersfield,eng Premier League,22,1996,11.0,0.09,0.00,0.00,1.36,0.45,0.00,33.3,1.37,0.46,0.07,0.20,0.10,0.10,0.07,-0.01,-0.01,Matches
1580,Stéphane Mbia\Stephane-Mbia,cm CMR,DFMF,Toulouse,fr Ligue 1,32,1986,5.0,0.00,0.00,0.00,0.20,0.00,0.00,0.0,0.20,0.00,0.00,,0.02,0.02,0.06,-0.02,-0.02,Matches
1581,Kara Mbodji\Kara-Mbodji,sn SEN,DF,Nantes,fr Ligue 1,28,1989,5.6,0.00,0.00,0.00,1.07,0.18,0.00,16.7,1.07,0.18,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
1582,Jordi Mboula\Jordi-Mboula,es ESP,FW,Monaco,fr Ligue 1,19,1999,3.1,0.00,0.00,0.00,2.90,0.65,0.00,22.2,2.93,0.65,0.00,0.00,0.32,0.32,0.11,-0.32,-0.32,Matches
1583,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,eng Premier League,30,1987,34.0,0.09,0.00,0.00,1.00,0.24,0.00,23.5,1.00,0.24,0.09,0.38,0.16,0.16,0.16,-0.08,-0.08,Matches
1584,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,28,1989,25.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1585,James McCarthy\James-McCarthy,ie IRL,MF,Everton,eng Premier League,27,1990,0.2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1586,Kevin McDonald\Kevin-McDonald,sco SCO,MF,Fulham,eng Premier League,29,1988,9.3,0.00,0.00,0.00,0.43,0.00,0.00,0.0,0.43,0.00,0.00,,0.01,0.01,0.03,-0.01,-0.01,Matches
1587,Levan Mchedlidze\Levan-Mchedlidze,ge GEO,FWDF,Empoli,it Serie A,28,1990,2.3,0.00,0.00,0.00,1.74,0.43,0.00,25.0,1.73,0.43,0.00,0.00,0.09,0.09,0.06,-0.09,-0.09,Matches
1588,Weston McKennie\Weston-McKennie,us USA,MFDF,Schalke 04,de Bundesliga,19,1998,19.4,0.05,0.00,0.00,1.13,0.26,0.00,22.7,1.13,0.26,0.05,0.20,0.11,0.11,0.10,-0.06,-0.06,Matches
1589,Dwight McNeil\Dwight-McNeil,eng ENG,MFFW,Burnley,eng Premier League,18,1999,17.7,0.17,0.00,0.00,1.58,0.34,0.23,21.4,1.58,0.34,0.11,0.50,0.10,0.10,0.06,0.07,0.07,Matches
1590,Scott McTominay\Scott-McTominay,sco SCO,MFDF,Manchester Utd,eng Premier League,21,1996,9.6,0.21,0.00,0.00,1.56,0.63,0.00,40.0,1.56,0.62,0.13,0.33,0.11,0.11,0.07,0.09,0.09,Matches
1591,Iuri Medeiros\Iuri-Medeiros,pt POR,MFFW,Genoa,it Serie A,24,1994,1.2,0.00,0.00,0.00,1.67,0.00,0.00,0.0,1.70,0.00,0.00,,0.17,0.17,0.08,-0.17,-0.17,Matches
1592,Nicky Medja\Nicky-Medja,ch SUI,MF,Fiorentina,it Serie A,18,2000,0.5,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1593,Álvaro Medrán\Alvaro-Medran,es ESP,MF,Rayo Vallecano,es La Liga,24,1994,12.8,0.23,0.00,0.00,1.88,0.70,0.23,37.5,1.88,0.70,0.13,0.33,0.12,0.12,0.06,0.12,0.12,Matches
1594,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,eng Premier League,28,1989,38.0,0.00,0.00,0.00,0.61,0.16,0.00,26.1,0.61,0.16,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
1595,Riccardo Meggiorini\Riccardo-Meggiorini,it ITA,FW,Chievo,it Serie A,32,1985,17.2,0.17,0.06,0.06,1.92,0.81,0.06,42.4,1.92,0.81,0.06,0.14,0.20,0.16,0.09,-0.03,-0.05,Matches
1596,Admir Mehmedi\Admir-Mehmedi,ch SUI,FWMF,Wolfsburg,de Bundesliga,27,1991,18.8,0.32,0.00,0.00,1.86,0.69,0.05,37.1,1.86,0.69,0.17,0.46,0.16,0.16,0.09,0.15,0.15,Matches
1597,Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Torino,it Serie A,24,1994,29.5,0.07,0.00,0.00,1.02,0.34,0.00,33.3,1.02,0.34,0.07,0.20,0.04,0.04,0.04,0.03,0.03,Matches
1598,Farid El Melali\Farid-El-Melali,dz ALG,FWMF,Angers,fr Ligue 1,21,1997,3.6,0.00,0.00,0.00,2.22,0.28,0.00,12.5,2.20,0.27,0.00,0.00,0.11,0.11,0.05,-0.11,-0.11,Matches
1599,Óscar Melendo\Oscar-Melendo,es ESP,MFFW,Espanyol,es La Liga,20,1997,22.2,0.00,0.00,0.00,0.41,0.27,0.00,66.7,0.41,0.27,0.00,0.00,0.04,0.04,0.10,-0.04,-0.04,Matches
1600,Gonzalo Melero\Gonzalo-Melero,es ESP,MF,Huesca,es La Liga,24,1994,14.9,0.13,0.07,0.13,1.34,0.40,0.00,30.0,1.34,0.40,0.05,0.17,0.25,0.15,0.11,-0.11,-0.08,Matches
1601,Arthur Melo\Arthur-Melo,br BRA,MF,Barcelona,es La Liga,21,1996,15.9,0.00,0.00,0.00,0.31,0.19,0.00,60.0,0.31,0.19,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
1602,Pedro Mendes\Pedro-Mendes,pt POR,DF,Montpellier,fr Ligue 1,27,1990,29.6,0.03,0.00,0.00,0.30,0.07,0.00,22.2,0.30,0.07,0.11,0.50,0.02,0.02,0.06,0.02,0.02,Matches
1603,Thiago Mendes\Thiago-Mendes,br BRA,MF,Lille,fr Ligue 1,26,1992,34.2,0.00,0.00,0.00,0.94,0.12,0.15,12.5,0.94,0.12,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
1604,Brais Méndez\Brais-Mendez,es ESP,MFFW,Celta Vigo,es La Liga,21,1997,26.1,0.23,0.04,0.04,2.45,1.00,0.04,40.6,2.45,1.00,0.08,0.19,0.21,0.18,0.07,0.02,0.02,Matches
1605,Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,eng ENG,MFFW,Cardiff City,eng Premier League,26,1992,10.9,0.37,0.09,0.09,1.83,0.73,0.00,40.0,1.83,0.73,0.15,0.38,0.26,0.18,0.10,0.11,0.09,Matches
1606,Stiven Mendoza\Stiven-Mendoza,co COL,FWMF,Amiens,fr Ligue 1,26,1992,20.9,0.10,0.00,0.00,1.96,0.43,0.19,22.0,1.97,0.43,0.05,0.22,0.13,0.13,0.07,-0.03,-0.03,Matches
1607,Alexandre Mendy\Alexandre-Mendy,fr FRA,FW,Guingamp,fr Ligue 1,24,1994,8.5,0.35,0.00,0.00,2.71,0.82,0.00,30.4,2.70,0.82,0.13,0.43,0.34,0.34,0.13,0.01,0.01,Matches
1608,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,eng Premier League,24,1994,10.0,0.00,0.00,0.00,0.70,0.20,0.00,28.6,0.70,0.20,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
1609,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Reims,fr Ligue 1,26,1992,38.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1610,Ferland Mendy\Ferland-Mendy,fr FRA,DF,Lyon,fr Ligue 1,23,1995,28.1,0.07,0.00,0.00,0.89,0.28,0.00,32.0,0.89,0.28,0.08,0.25,0.04,0.04,0.04,0.04,0.04,Matches
1611,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,eng Premier League,26,1992,23.2,0.00,0.00,0.00,0.13,0.00,0.00,0.0,0.13,0.00,0.00,,0.00,0.00,0.04,-0.00,-0.00,Matches
1612,Hamza Mendyl\Hamza-Mendyl,ma MAR,DFMF,Schalke 04,de Bundesliga,20,1997,6.0,0.00,0.00,0.00,0.50,0.17,0.00,33.3,0.50,0.17,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
1613,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,eng Premier League,20,1997,9.4,0.00,0.00,0.00,0.21,0.00,0.00,0.0,0.21,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,Matches
1614,Gabriel Mercado\Gabriel-Mercado,ar ARG,DF,Sevilla,es La Liga,31,1987,19.3,0.10,0.00,0.00,0.52,0.16,0.00,30.0,0.52,0.16,0.20,0.67,0.07,0.07,0.13,0.04,0.04,Matches
1615,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,21,1997,12.8,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1616,Mehdi Merghem\Mehdi-Merghem,fr FRA,FWMF,Guingamp,fr Ligue 1,21,1997,8.0,0.00,0.00,0.00,3.00,0.50,0.13,16.7,3.00,0.50,0.00,0.00,0.15,0.15,0.05,-0.15,-0.15,Matches
1617,Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,es La Liga,22,1996,22.8,0.13,0.00,0.00,1.05,0.44,0.00,41.7,1.05,0.44,0.13,0.30,0.11,0.11,0.11,0.02,0.02,Matches
1618,Sabin Merino\Sabin-Merino,es ESP,FWMF,Leganés,es La Liga,26,1992,3.3,0.00,0.00,0.00,3.03,1.21,0.00,40.0,3.05,1.22,0.00,0.00,0.39,0.39,0.13,-0.39,-0.39,Matches
1619,Martín Merquelanz\Martin-Merquelanz,es ESP,MF,Real Sociedad,es La Liga,23,1995,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1620,Dries Mertens\Dries-Mertens,be BEL,FW,Napoli,it Serie A,31,1987,25.0,0.64,0.04,0.04,3.56,1.60,0.16,44.9,3.56,1.60,0.17,0.38,0.50,0.47,0.13,0.14,0.13,Matches
1621,Roque Mesa\Roque-Mesa,es ESP,MF,Sevilla,es La Liga,29,1989,19.4,0.10,0.00,0.00,1.49,0.36,0.10,24.1,1.49,0.36,0.07,0.29,0.09,0.09,0.06,0.02,0.02,Matches
1622,Lionel Messi\Lionel-Messi,ar ARG,FW,Barcelona,es La Liga,31,1987,30.1,1.20,0.13,0.17,5.55,2.82,1.36,50.9,5.54,2.82,0.19,0.38,0.78,0.66,0.12,0.41,0.41,Matches
1623,Romain Métanire\Romain-Metanire,mg MAD,DF,Reims,fr Ligue 1,28,1990,3.5,0.00,0.00,0.00,0.29,0.29,0.00,100.0,0.29,0.29,0.00,0.00,0.11,0.11,0.36,-0.11,-0.11,Matches
1624,Thomas Meunier\Thomas-Meunier,be BEL,DFMF,Paris S-G,fr Ligue 1,26,1991,17.9,0.17,0.00,0.00,1.12,0.34,0.00,30.0,1.12,0.34,0.15,0.50,0.16,0.16,0.14,0.01,0.01,Matches
1625,Mexer\Mexer,mz MOZ,DF,Rennes,fr Ligue 1,29,1988,27.4,0.00,0.00,0.00,0.29,0.04,0.00,12.5,0.29,0.04,0.00,0.00,0.03,0.03,0.09,-0.03,-0.03,Matches
1626,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,eng Premier League,22,1995,15.7,0.06,0.00,0.00,2.23,0.38,0.00,17.1,2.22,0.38,0.03,0.17,0.13,0.13,0.06,-0.07,-0.07,Matches
1627,Matt Miazga\Matt-Miazga,us USA,DF,Nantes,fr Ligue 1,23,1995,8.0,0.00,0.00,0.00,0.75,0.00,0.00,0.0,0.75,0.00,0.00,,0.05,0.05,0.07,-0.05,-0.05,Matches
1628,Míchel\Michel,es ESP,MF,Valladolid,es La Liga,30,1988,28.4,0.04,0.00,0.04,0.74,0.14,0.11,19.0,0.74,0.14,0.05,0.25,0.05,0.02,0.03,-0.01,0.01,Matches
1629,Clément Michelin\Clement-Michelin,fr FRA,DF,Toulouse,fr Ligue 1,21,1997,1.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1630,Petar Mićin\Petar-Micin,rs SRB,MF,Udinese,it Serie A,19,1998,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
1631,Miguel\Miguel,es ESP,MF,Valladolid,es La Liga,18,1999,0.1,0.00,0.00,0.00,20.0,10.0,0.00,50.0,15.00,7.50,0.00,0.00,2.00,2.00,0.08,-2.00,-2.00,Matches
1632,Florian Miguel\Florian-Miguel,fr FRA,DF,Nîmes,fr Ligue 1,21,1996,12.4,0.00,0.00,0.00,0.08,0.00,0.00,0.0,0.08,0.00,0.00,,0.01,0.01,0.12,-0.01,-0.01,Matches
1633,Nikola Milenković\Nikola-Milenkovic,rs SRB,DF,Fiorentina,it Serie A,20,1997,33.4,0.09,0.00,0.00,0.81,0.39,0.00,48.1,0.81,0.39,0.11,0.23,0.08,0.08,0.10,0.01,0.01,Matches
1634,Arkadiusz Milik\Arkadiusz-Milik,pl POL,FW,Napoli,it Serie A,24,1994,26.6,0.64,0.00,0.00,4.21,1.88,0.26,44.6,4.21,1.88,0.15,0.34,0.58,0.58,0.14,0.06,0.06,Matches
1635,Sergej Milinković-Savić\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,it Serie A,23,1995,26.6,0.19,0.00,0.00,2.89,0.90,0.26,31.2,2.89,0.90,0.06,0.21,0.20,0.20,0.07,-0.01,-0.01,Matches
1636,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,SPAL,it Serie A,21,1997,1.8,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1637,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,eng Premier League,27,1991,38.0,0.32,0.26,0.29,1.24,0.34,0.42,27.7,1.24,0.34,0.04,0.15,0.29,0.07,0.05,0.03,-0.01,Matches
1638,Pere Milla\Pere-Milla,es ESP,FWMF,Eibar,es La Liga,25,1992,3.8,0.00,0.00,0.00,1.05,0.00,0.00,0.0,1.06,0.00,0.00,,0.05,0.05,0.05,-0.05,-0.05,Matches
1639,Vincenzo Millico\Vincenzo-Millico,it ITA,MF,Torino,it Serie A,17,2000,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
1640,James Milner\James-Milner,eng ENG,MFDF,Liverpool,eng Premier League,32,1986,19.9,0.25,0.15,0.15,1.06,0.20,0.05,19.0,1.06,0.20,0.10,0.50,0.19,0.08,0.07,0.06,0.03,Matches
1641,Santi Mina\Santi-Mina,es ESP,FW,Valencia,es La Liga,22,1995,20.6,0.34,0.00,0.00,2.04,1.02,0.00,50.0,2.04,1.02,0.17,0.33,0.36,0.35,0.17,-0.02,-0.01,Matches
1642,Yerry Mina\Yerry-Mina,co COL,DF,Everton,eng Premier League,23,1994,9.9,0.10,0.00,0.00,0.40,0.10,0.00,25.0,0.40,0.10,0.25,1.00,0.04,0.04,0.09,0.06,0.06,Matches
1643,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Bournemouth,eng Premier League,25,1993,1.6,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1644,Ignasi Miquel\Ignasi-Miquel,es ESP,DF,Getafe,es La Liga,25,1992,3.5,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1645,Kevin Mirallas\Kevin-Mirallas,be BEL,FWMF,Fiorentina,it Serie A,30,1987,14.4,0.14,0.00,0.00,2.01,0.63,0.00,31.0,2.01,0.62,0.07,0.22,0.20,0.20,0.10,-0.06,-0.06,Matches
1646,Jorge Miramón\Jorge-Miramon,es ESP,DF,Huesca,es La Liga,29,1989,27.7,0.04,0.00,0.00,0.51,0.14,0.00,28.6,0.51,0.14,0.07,0.25,0.02,0.02,0.04,0.01,0.01,Matches
1647,Miranda\Miranda,br BRA,DF,Inter,it Serie A,33,1984,12.9,0.00,0.00,0.00,0.31,0.08,0.00,25.0,0.31,0.08,0.00,0.00,0.03,0.03,0.11,-0.03,-0.03,Matches
1648,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,35,1983,11.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1649,Virgil Misidjan\Virgil-Misidjan,nl NED,FWMF,Nürnberg,de Bundesliga,25,1993,17.1,0.06,0.00,0.00,1.29,0.47,0.00,36.4,1.28,0.47,0.05,0.13,0.13,0.13,0.10,-0.08,-0.08,Matches
1650,Simone Missiroli\Simone-Missiroli,it ITA,MF,SPAL,it Serie A,32,1986,30.5,0.00,0.00,0.00,0.49,0.03,0.00,6.7,0.49,0.03,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
1651,Kostas Mitroglou\Kostas-Mitroglou,gr GRE,FW,Marseille,fr Ligue 1,30,1988,6.4,0.47,0.00,0.00,2.97,1.41,0.00,47.4,2.95,1.40,0.16,0.33,0.64,0.64,0.21,-0.17,-0.17,Matches
1652,Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,Fulham,eng Premier League,23,1994,36.4,0.30,0.03,0.03,3.35,1.15,0.05,34.4,3.35,1.15,0.08,0.24,0.40,0.38,0.11,-0.10,-0.10,Matches
1653,Stefan Mitrović\Stefan-Mitrovic,rs SRB,DF,Strasbourg,fr Ligue 1,28,1990,33.6,0.00,0.00,0.00,0.42,0.09,0.00,21.4,0.42,0.09,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches
1654,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DFMF,Hertha BSC,de Bundesliga,21,1997,20.0,0.05,0.00,0.00,1.05,0.35,0.00,33.3,1.05,0.35,0.05,0.14,0.06,0.06,0.05,-0.01,-0.01,Matches
1655,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FWMF,Arsenal,eng Premier League,29,1989,18.2,0.33,0.00,0.00,2.75,0.77,0.05,28.0,2.74,0.77,0.12,0.43,0.24,0.24,0.09,0.09,0.09,Matches
1656,Luka Modrić\Luka-Modric,hr CRO,MF,Real Madrid,es La Liga,32,1985,29.0,0.10,0.00,0.00,1.34,0.45,0.00,33.3,1.35,0.45,0.08,0.23,0.09,0.09,0.07,0.01,0.01,Matches
1657,Kevin Möhwald\Kevin-Mohwald,de GER,MFFW,Werder Bremen,de Bundesliga,25,1993,9.7,0.31,0.00,0.00,1.96,0.93,0.10,47.4,1.96,0.93,0.16,0.33,0.11,0.11,0.06,0.20,0.20,Matches
1658,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,32,1985,29.3,0.00,0.00,0.00,0.27,0.03,0.00,12.5,0.27,0.03,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
1659,Johan Mojica\Johan-Mojica,co COL,DFMF,Girona,es La Liga,25,1992,0.2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1660,Hakim El Mokeddem\Hakim-El-Mokeddem,br BRA,FWMF,Toulouse,fr Ligue 1,19,1999,0.3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
1661,Jorge Molina\Jorge-Molina,es ESP,FW,Getafe,es La Liga,36,1982,29.4,0.48,0.07,0.07,1.77,0.68,0.00,38.5,1.77,0.68,0.23,0.60,0.37,0.32,0.19,0.10,0.09,Matches
1662,Cristian Molinaro\Cristian-Molinaro,it ITA,DFMF,Frosinone,it Serie A,35,1983,12.9,0.00,0.00,0.00,0.08,0.00,0.00,0.0,0.08,0.00,0.00,,0.00,0.00,0.03,0.00,0.00,Matches
