,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,44.5,39.5,5.00,0.50,0.00,8.50,2.00,4.00,0.00,0.00,0.00,0.00,31.0,6.50,7.00,32.0,7.00,1.00,4.50,0.00,35.0,1.00,1.50,0.50,1.50,Matches
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,27.6,27.4,0.17,0.00,0.17,5.52,0.00,1.55,0.17,0.00,0.00,0.00,22.8,2.76,2.07,3.10,23.1,0.86,0.00,0.00,21.0,0.00,0.69,0.69,1.03,Matches
39,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,23,1995,5.5,49.3,46.7,2.55,1.45,0.00,4.55,1.09,0.00,0.00,0.00,0.00,0.00,36.9,5.09,7.27,6.00,38.5,2.91,1.09,0.36,41.6,0.00,1.09,0.73,1.45,Matches
40,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hannover 96,de Bundesliga,23,1995,3.5,48.3,46.3,2.00,1.43,0.00,8.57,1.71,0.00,0.00,0.00,0.00,0.00,36.6,3.71,8.00,4.86,40.0,1.71,0.57,0.57,40.0,0.00,2.29,0.86,1.14,Matches
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,76.0,65.7,10.4,0.96,0.25,14.1,1.71,4.13,0.18,0.00,0.00,0.00,52.1,11.2,12.8,57.2,7.22,1.85,9.22,0.04,62.9,0.36,1.14,1.03,2.17,Matches
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,52.3,40.7,11.7,0.28,0.14,7.35,0.38,1.94,0.00,0.00,0.00,0.00,28.3,12.7,11.3,3.41,34.9,2.23,11.3,0.14,39.7,0.19,1.28,0.85,1.99,Matches
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,27.7,26.5,1.28,0.07,0.07,5.89,0.35,0.35,0.00,0.00,0.00,0.00,18.6,6.17,2.98,3.55,20.0,2.06,0.07,0.50,21.6,0.07,0.43,0.71,0.78,Matches
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,80.9,71.3,9.64,1.57,0.03,10.7,1.05,1.57,0.03,0.00,0.00,0.00,60.1,12.5,8.34,60.3,10.1,2.11,8.04,0.21,69.4,0.18,0.72,1.81,2.14,Matches
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,66.9,56.4,10.5,2.26,0.41,12.9,3.44,7.69,6.11,0.77,1.00,0.36,45.2,7.47,14.3,3.08,60.8,1.22,1.18,0.32,50.7,0.41,1.00,1.81,1.76,Matches
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,59.3,57.6,1.68,1.68,0.05,6.16,2.84,0.16,0.00,0.00,0.00,0.00,43.2,5.89,10.2,7.05,48.3,2.37,0.00,0.26,52.6,0.05,0.95,0.16,0.58,Matches
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,52.8,41.6,11.3,0.98,0.00,6.85,1.14,3.15,0.11,0.00,0.05,0.00,26.6,12.7,13.5,34.1,5.33,2.72,10.2,0.16,39.4,0.33,1.30,0.92,1.85,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,42.9,41.2,1.71,0.33,0.06,11.3,2.21,6.91,0.55,0.00,0.00,0.00,23.4,5.86,13.6,3.31,36.7,1.60,0.77,0.11,25.4,0.55,1.22,1.33,3.43,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,20.3,18.2,2.07,0.00,0.07,3.41,0.00,0.30,0.00,0.00,0.00,0.00,13.8,3.63,2.89,3.19,15.7,1.04,0.07,0.07,15.6,0.15,0.22,0.44,0.37,Matches
