,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1474,Gary Madine\Gary-Madine,eng ENG,FWMF,Cardiff City,eng Premier League,27,1990,0.4,32.5,27.5,5.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,22.5,7.50,2.50,2.50,20.0,7.50,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
1475,Pablo Maffeo\Pablo-Maffeo,es ESP,DFMF,Stuttgart,de Bundesliga,21,1997,6.6,45.3,36.7,8.64,0.30,0.00,5.30,1.82,3.48,0.15,0.00,0.00,0.00,23.3,10.0,12.0,5.45,28.3,2.58,8.18,0.30,32.6,0.00,0.91,0.76,0.76,Matches
1476,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,33,1984,20.7,64.3,61.3,3.00,3.00,0.00,9.18,1.59,0.10,0.00,0.00,0.00,0.00,48.4,7.83,8.02,6.52,55.1,2.32,0.00,0.00,57.1,0.10,0.92,0.72,0.63,Matches
1477,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Sassuolo,it Serie A,22,1995,16.8,54.0,52.5,1.49,1.49,0.06,5.42,1.37,0.00,0.00,0.00,0.00,0.00,42.7,2.56,8.69,9.76,41.5,1.73,0.00,0.00,46.7,0.42,1.25,0.36,0.36,Matches
1478,Harry Maguire\Harry-Maguire,eng ENG,DF,Leicester City,eng Premier League,25,1993,28.8,60.7,58.4,2.33,2.19,0.07,9.44,2.78,0.03,0.00,0.00,0.00,0.00,40.4,7.92,12.4,6.94,46.4,5.35,0.14,0.28,51.9,0.03,1.35,0.59,0.59,Matches
1479,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,eng Premier League,27,1991,14.9,59.3,55.0,4.30,0.60,0.54,11.4,2.35,4.97,2.95,0.34,0.07,0.00,44.4,5.77,9.19,51.8,4.70,1.61,0.74,0.13,48.1,0.13,1.07,0.81,1.95,Matches
1480,Thiago Maia\Thiago-Maia,br BRA,MF,Lille,fr Ligue 1,21,1997,11.3,51.2,49.9,1.33,1.15,0.09,6.73,0.97,0.18,0.00,0.00,0.00,0.00,37.7,5.75,7.79,42.7,4.87,2.30,0.18,0.27,43.3,0.09,0.80,0.80,0.88,Matches
1481,Raffaele Maiello\Raffaele-Maiello,it ITA,MF,Frosinone,it Serie A,27,1991,22.7,54.6,50.4,4.14,3.04,0.04,7.14,3.13,1.32,0.79,0.09,0.18,0.00,35.5,7.00,12.1,4.27,47.4,2.16,0.18,0.04,43.5,0.44,0.88,0.75,1.41,Matches
1482,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,19,1999,22.9,53.5,51.7,1.79,1.44,0.00,10.8,0.74,0.44,0.04,0.00,0.00,0.00,41.7,5.55,6.24,5.28,44.1,3.01,0.26,0.22,45.8,0.31,0.39,1.18,1.22,Matches
1483,Domenico Maietta\Domenico-Maietta,it ITA,DF,Empoli,it Serie A,35,1982,19.0,52.0,48.4,3.58,1.89,0.00,5.84,2.42,0.42,0.00,0.00,0.00,0.00,33.9,5.53,12.5,8.32,39.2,2.05,1.68,0.11,44.4,0.21,1.16,0.58,0.63,Matches
1484,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,22,1995,38.0,28.8,18.6,10.2,3.11,0.00,1.63,0.68,0.00,0.00,0.00,0.00,0.00,12.7,1.11,15.1,2.74,19.9,0.00,0.00,5.32,18.1,0.08,1.42,0.08,0.05,Matches
1485,Linton Maina\Linton-Maina,de GER,MFFW,Hannover 96,de Bundesliga,19,1999,15.7,32.9,29.0,3.89,0.19,0.06,7.58,0.45,1.72,0.00,0.00,0.00,0.00,21.0,7.01,4.84,7.96,19.6,1.46,3.57,0.19,24.3,0.19,0.32,1.02,1.97,Matches
1486,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,20,1997,11.0,51.9,42.3,9.64,0.27,0.09,7.09,0.82,1.64,0.00,0.00,0.00,0.00,32.2,12.2,7.55,8.09,32.4,1.64,9.36,0.09,41.3,0.18,1.09,1.00,2.36,Matches
1487,Josh Maja\Josh-Maja,ng NGA,FWMF,Bordeaux,fr Ligue 1,19,1998,2.2,25.9,25.5,0.45,0.00,0.45,9.55,0.00,0.45,0.00,0.00,0.00,0.00,18.6,5.91,1.36,3.64,19.1,2.27,0.00,0.45,20.5,0.00,0.45,0.91,0.00,Matches
1488,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FW,Nantes,fr Ligue 1,26,1991,25.0,24.8,23.6,1.24,0.04,0.24,7.20,0.52,1.64,0.60,0.12,0.04,0.04,18.7,3.36,2.76,2.20,21.3,0.56,0.20,0.36,17.6,0.08,0.60,0.80,1.48,Matches
1489,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,FWMF,Nice,fr Ligue 1,20,1998,11.4,37.2,36.8,0.35,0.09,0.00,10.9,0.44,0.44,0.00,0.00,0.00,0.00,32.2,3.16,1.84,30.0,6.23,0.61,0.18,0.00,31.4,0.18,0.88,1.05,0.96,Matches
1490,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,23,1995,35.7,21.8,20.7,1.09,0.45,0.03,4.40,0.56,0.11,0.00,0.00,0.00,0.00,12.0,3.95,5.88,1.82,14.9,3.25,0.00,0.14,16.3,0.14,0.64,0.28,0.45,Matches
1491,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,26,1991,15.3,57.9,55.4,2.48,1.37,0.07,4.51,1.76,0.00,0.00,0.00,0.00,0.00,45.0,6.67,6.27,4.77,47.7,3.14,1.11,0.26,53.0,0.07,0.72,0.33,0.26,Matches
1492,Malcom\Malcom,br BRA,FWDF,Barcelona,es La Liga,21,1997,6.8,48.4,46.3,2.06,0.15,0.15,10.9,0.44,2.35,1.18,0.15,0.29,0.00,39.0,4.41,5.00,41.3,5.29,0.44,0.74,0.15,40.1,0.15,0.15,1.47,1.32,Matches
1493,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Napoli,it Serie A,27,1991,20.1,62.9,53.9,9.00,0.65,0.10,8.51,1.24,4.78,0.05,0.00,0.00,0.05,42.0,11.7,9.25,3.43,48.9,1.49,8.31,0.20,52.0,0.10,0.90,1.09,2.04,Matches
1494,Yunus Mallı\Yunus-Malli,tr TUR,MFFW,Wolfsburg,de Bundesliga,26,1992,7.8,43.6,40.5,3.08,0.51,0.13,9.10,1.15,2.95,1.92,0.00,0.00,0.00,30.1,5.77,7.69,5.77,34.1,2.82,0.26,0.26,34.2,0.00,0.77,1.03,1.28,Matches
1495,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,27,1991,34.4,58.0,46.4,11.7,1.60,0.06,7.99,1.45,5.15,0.73,0.00,0.00,0.00,29.9,12.4,15.7,5.58,39.3,2.97,9.33,0.09,42.2,0.26,1.74,0.90,2.12,Matches
1496,Antonio Mance\Antonio-Mance,hr CRO,FWMF,Nantes,fr Ligue 1,22,1995,0.6,21.7,21.7,0.00,0.00,0.00,10.0,0.00,1.67,0.00,0.00,0.00,0.00,15.0,3.33,3.33,6.67,10.0,1.67,0.00,1.67,13.3,0.00,1.67,0.00,0.00,Matches
1497,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,29,1989,31.0,52.0,41.7,10.3,1.00,0.03,8.42,1.13,1.90,0.00,0.00,0.00,0.00,29.9,8.48,13.5,8.10,32.4,1.81,9.29,0.03,41.1,0.16,0.87,1.00,1.48,Matches
1498,Gianluca Mancini\Gianluca-Mancini,it ITA,DF,Atalanta,it Serie A,22,1996,25.0,54.0,50.5,3.44,0.96,0.16,9.04,0.64,0.12,0.00,0.00,0.00,0.00,40.5,6.36,7.08,6.76,40.8,2.60,2.48,0.08,45.1,0.28,1.00,0.92,0.60,Matches
1499,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,33,1985,30.4,32.4,23.3,9.14,2.86,0.00,2.63,0.33,0.00,0.00,0.00,0.00,0.00,16.2,1.71,14.5,3.06,23.8,0.03,0.00,4.24,22.6,0.00,0.76,0.07,0.03,Matches
1500,Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,24,1994,1.1,53.6,45.5,8.18,0.91,0.00,6.36,0.00,3.64,0.00,0.00,0.00,0.00,38.2,8.18,7.27,36.4,8.18,1.82,7.27,0.00,43.6,0.00,1.82,0.00,1.82,Matches
1501,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,26,1991,34.0,76.8,73.4,3.32,2.74,0.06,10.4,2.21,0.56,0.00,0.00,0.00,0.00,63.3,5.85,7.65,10.2,62.4,2.44,0.59,0.38,71.1,0.03,0.59,0.79,0.62,Matches
1502,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,21,1997,32.4,37.7,34.3,3.40,1.91,0.03,6.23,1.11,1.45,1.14,0.12,0.25,0.00,23.9,6.57,7.25,28.3,5.43,2.28,0.31,0.37,30.6,0.19,0.68,0.49,1.05,Matches
1503,Mario Mandžukić\Mario-Mandzukic,hr CRO,FW,Juventus,it Serie A,32,1986,22.4,27.5,26.7,0.76,0.09,0.09,5.58,0.36,0.80,0.00,0.00,0.00,0.00,16.0,6.47,5.04,2.59,18.8,3.35,0.58,0.45,20.0,0.04,0.36,0.80,1.21,Matches
1504,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,26,1992,34.2,35.5,34.9,0.58,0.09,0.29,7.60,0.82,1.14,0.09,0.00,0.00,0.00,25.8,4.85,4.85,8.45,24.2,1.58,0.41,0.44,27.3,0.15,0.58,0.99,1.73,Matches
1505,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,31,1987,17.8,67.1,61.2,5.90,3.09,0.17,13.5,1.63,4.55,2.19,0.45,0.45,0.00,46.5,6.01,14.7,53.1,9.78,3.26,0.51,0.00,53.0,0.11,0.96,0.84,1.40,Matches
1506,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Roma,it Serie A,27,1991,25.8,40.3,38.2,2.13,2.09,0.00,5.54,1.32,0.04,0.00,0.00,0.00,0.00,30.3,4.11,5.97,7.29,29.0,2.56,0.04,0.54,35.6,0.04,1.05,0.47,0.27,Matches
1507,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,24,1994,12.2,42.4,32.0,10.3,0.16,0.16,5.98,0.49,2.38,0.00,0.00,0.00,0.00,19.7,8.11,14.6,3.28,25.4,2.79,10.2,0.00,28.9,0.08,1.07,1.64,1.72,Matches
1508,Martín Mantovani\Martin-Mantovani,ar ARG,DF,Huesca,es La Liga,34,1984,7.8,27.1,26.2,0.90,0.90,0.00,3.21,0.64,0.00,0.00,0.00,0.00,0.00,18.3,3.85,4.87,3.21,19.6,2.69,0.00,0.26,23.1,0.00,0.26,0.26,0.26,Matches
1509,Juan Manuel Valencia\Juan-Manuel-Valencia,co COL,FW,Bologna,it Serie A,20,1998,0.3,33.3,33.3,0.00,0.00,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,23.3,3.33,6.67,6.67,23.3,3.33,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
1510,Harrison Manzala\Harrison-Manzala,cd COD,MFFW,Angers,fr Ligue 1,24,1994,0.8,38.8,37.5,1.25,1.25,0.00,10.0,1.25,5.00,0.00,0.00,0.00,0.00,20.0,8.75,10.0,11.3,22.5,3.75,0.00,0.00,17.5,0.00,1.25,0.00,3.75,Matches
1511,Francisco Manzanara\Francisco-Manzanara,es ESP,DFMF,Levante,es La Liga,21,1996,1.7,41.2,39.4,1.76,1.76,0.00,1.76,0.59,0.00,0.00,0.00,0.00,0.00,30.0,7.06,4.12,5.29,31.8,3.53,0.00,0.00,36.5,0.59,0.00,0.00,0.00,Matches
1512,Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,19,1999,10.6,32.8,31.6,1.23,0.28,0.09,8.49,0.28,0.66,0.09,0.00,0.00,0.00,27.5,3.30,2.08,5.28,25.9,1.04,0.28,0.00,26.8,0.00,0.38,0.57,1.51,Matches
1513,Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,23.7,42.1,30.5,11.6,0.42,0.04,7.17,1.18,3.33,0.00,0.00,0.00,0.00,18.9,10.4,12.8,25.9,3.29,1.27,11.1,0.00,30.5,0.13,1.39,0.76,1.69,Matches
1514,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,29,1989,9.8,83.9,77.4,6.43,1.33,0.10,10.7,3.16,0.92,0.00,0.00,0.00,0.00,60.7,9.90,13.3,68.7,6.12,2.24,5.10,0.00,74.1,0.00,1.22,1.33,1.12,Matches
1515,Iván Marcano\Ivan-Marcano,es ESP,DF,Roma,it Serie A,31,1987,9.0,61.3,58.1,3.22,1.11,0.00,4.78,2.22,1.56,0.11,0.00,0.00,0.00,43.0,7.67,10.7,50.4,2.89,4.22,2.00,0.22,53.2,0.00,0.67,0.22,1.33,Matches
1516,Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,30,1988,20.6,74.6,65.9,8.64,1.36,0.29,10.5,2.91,3.50,0.24,0.00,0.00,0.00,49.4,11.5,13.6,55.6,10.3,1.07,7.04,0.39,60.7,0.53,0.78,1.65,2.09,Matches
1517,Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,31,1987,32.0,72.2,70.2,2.00,1.84,0.16,7.09,2.09,0.09,0.00,0.00,0.00,0.00,56.7,5.22,10.3,3.34,63.4,3.44,0.16,0.13,64.6,0.22,1.06,0.50,0.19,Matches
1518,Solly March\Solly-March,eng ENG,FWMF,Brighton,eng Premier League,24,1994,27.4,33.7,30.8,2.96,0.80,0.04,7.01,2.48,5.58,1.28,0.07,0.00,0.00,19.5,5.22,8.98,27.2,3.14,2.15,0.80,0.07,21.8,0.33,1.06,0.58,2.74,Matches
1519,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,35,1983,4.0,28.0,17.0,11.0,2.25,0.00,1.75,1.00,0.00,0.00,0.00,0.00,0.00,11.5,1.75,14.8,16.0,7.50,0.00,0.00,2.50,19.5,0.50,1.00,0.00,0.00,Matches
1520,Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,26,1992,31.0,61.1,57.7,3.35,2.84,0.00,6.42,1.32,0.39,0.00,0.00,0.00,0.00,47.1,5.42,8.58,50.6,6.68,2.39,0.52,0.10,53.0,0.16,0.81,1.13,0.58,Matches
1521,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFFW,Athletic Club,es La Liga,29,1989,26.9,50.0,41.0,9.07,0.37,0.04,7.58,0.93,2.90,0.00,0.00,0.00,0.00,27.0,12.9,10.1,3.31,34.9,2.23,8.70,0.15,38.4,0.11,1.19,1.04,2.30,Matches
1522,Georg Margreitter\Georg-Margreitter,at AUT,DF,Nürnberg,de Bundesliga,29,1988,22.9,52.8,51.5,1.35,1.27,0.00,5.28,2.31,0.17,0.00,0.00,0.00,0.00,37.3,4.37,11.2,12.5,36.4,2.97,0.09,0.13,43.5,0.09,1.31,0.48,0.48,Matches
1523,Miguel Marí\Miguel-Mari,es ESP,MF,Eibar,es La Liga,21,1997,0.8,48.8,48.8,0.00,0.00,0.00,5.00,1.25,0.00,0.00,0.00,0.00,0.00,31.3,8.75,8.75,3.75,40.0,3.75,0.00,0.00,43.8,0.00,0.00,0.00,1.25,Matches
1524,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,es La Liga,23,1995,19.7,37.4,34.7,2.64,2.18,0.05,5.48,1.52,0.00,0.00,0.00,0.00,0.00,24.3,3.25,9.85,4.31,28.7,2.44,0.46,0.15,30.3,0.15,0.56,0.20,0.30,Matches
1525,Mariano\Mariano,do DOM,FW,Real Madrid,es La Liga,24,1993,5.0,19.0,17.0,2.00,0.20,0.20,5.00,0.40,0.00,0.00,0.00,0.00,0.00,13.2,4.00,1.80,1.20,15.0,1.60,0.00,0.00,14.4,0.00,0.60,1.40,0.20,Matches
1526,Mariano\Mariano,do DOM,FW,Lyon,fr Ligue 1,24,1993,1.6,18.8,18.1,0.63,0.00,0.00,3.13,0.00,0.63,0.00,0.00,0.00,0.00,15.0,2.50,1.25,2.50,15.0,0.63,0.00,0.00,14.4,0.00,0.00,0.63,1.25,Matches
1527,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,eng Premier League,31,1986,21.4,41.1,40.0,1.07,0.89,0.00,6.68,0.61,0.05,0.00,0.00,0.00,0.00,28.6,4.16,8.27,3.83,33.3,2.48,0.19,0.05,34.4,0.09,0.61,0.56,0.42,Matches
1528,Jordan Marié\Jordan-Marie,fr FRA,MF,Dijon,fr Ligue 1,26,1991,20.0,44.0,43.5,0.45,0.15,0.00,7.85,1.40,0.95,0.10,0.10,0.00,0.00,30.0,6.05,7.95,3.70,36.8,2.70,0.10,0.15,34.6,0.15,0.95,1.00,0.85,Matches
1529,Adrián Marín\Adrian-Marin,es ESP,DFMF,Alavés,es La Liga,21,1997,3.2,34.7,24.4,10.3,0.94,0.00,5.00,0.63,0.63,0.00,0.00,0.00,0.00,16.6,6.56,11.6,20.6,0.63,3.13,9.38,0.00,24.7,0.00,1.88,0.31,0.63,Matches
1530,João Mário\Joao-Mario,pt POR,MFFW,Inter,it Serie A,25,1993,12.0,61.9,59.5,2.42,1.17,0.17,10.4,1.33,2.75,0.67,0.00,0.08,0.00,47.9,6.50,7.50,6.67,52.5,1.83,0.50,0.17,51.3,0.33,1.17,1.08,1.42,Matches
1531,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Alavés,es La Liga,24,1994,22.3,30.4,27.5,2.91,2.91,0.00,4.26,1.17,0.00,0.00,0.00,0.00,0.00,18.5,3.09,8.88,3.68,22.7,2.60,0.00,0.09,23.6,0.00,0.90,0.36,0.49,Matches
1532,Lazar Marković\Lazar-Markovic,rs SRB,FW,Fulham,eng Premier League,24,1994,0.5,60.0,60.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,58.0,2.00,0.00,0.00,60.0,0.00,0.00,0.00,58.0,0.00,0.00,2.00,0.00,Matches
1533,Marlon\Marlon,br BRA,DF,Sassuolo,it Serie A,22,1995,16.8,63.7,60.0,3.69,1.90,0.00,6.19,1.49,0.42,0.00,0.00,0.00,0.00,54.3,4.23,5.12,7.20,52.8,1.37,1.79,0.12,59.1,0.12,0.30,0.60,0.48,Matches
1534,Marquinhos\Marquinhos,br BRA,DFMF,Paris S-G,fr Ligue 1,24,1994,29.9,75.7,74.0,1.74,1.37,0.57,9.13,1.67,0.03,0.00,0.00,0.00,0.00,63.2,5.85,6.66,14.2,57.9,1.84,0.37,0.30,70.0,0.10,0.84,0.54,0.37,Matches
1535,Roger Martí\Roger-Marti,es ESP,FW,Levante,es La Liga,27,1991,21.0,18.3,17.5,0.86,0.10,0.05,3.81,0.62,0.81,0.00,0.00,0.00,0.00,12.6,3.00,2.71,1.86,15.0,0.90,0.00,0.19,12.8,0.10,0.43,0.43,1.29,Matches
1536,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,eng Premier League,22,1995,18.0,41.8,40.9,0.89,0.00,0.17,12.2,0.33,1.83,0.11,0.00,0.00,0.00,33.3,4.44,4.00,5.67,33.6,0.94,0.61,0.11,31.9,0.17,0.83,1.78,1.72,Matches
1537,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,de Bundesliga,21,1997,32.0,54.4,40.6,13.8,1.91,0.03,7.69,1.69,7.38,2.63,0.13,0.47,0.00,29.1,10.3,15.1,40.4,2.59,1.72,9.31,0.09,40.6,0.13,0.69,0.78,1.63,Matches
1538,Jonas Martin\Jonas-Martin,fr FRA,MF,Strasbourg,fr Ligue 1,28,1990,22.9,66.7,63.9,2.84,2.14,0.09,12.8,2.88,0.92,0.17,0.00,0.00,0.00,53.0,6.11,7.64,12.1,52.0,1.35,0.48,0.31,58.3,0.13,0.70,0.87,0.96,Matches
1539,Marvin Martin\Marvin-Martin,fr FRA,MFFW,Reims,fr Ligue 1,30,1988,6.9,48.8,44.3,4.49,1.01,0.14,7.54,1.30,3.33,2.61,0.00,0.00,0.00,34.5,5.80,8.55,7.54,39.7,1.16,0.00,0.29,34.9,0.43,1.59,1.16,0.72,Matches
1540,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,es La Liga,27,1991,32.2,43.6,40.0,3.57,3.23,0.03,5.78,3.14,0.47,0.00,0.00,0.00,0.00,25.6,4.78,13.2,32.1,6.34,3.32,0.34,0.22,34.6,0.09,1.30,0.28,0.53,Matches
1541,Javi Martínez\Javi-Martinez,es ESP,MF,Bayern Munich,de Bundesliga,29,1988,14.5,62.8,61.7,1.17,1.17,0.14,8.48,1.17,0.28,0.00,0.00,0.00,0.00,48.6,6.07,8.21,12.3,43.5,5.17,0.00,0.28,55.4,0.14,0.83,0.14,0.97,Matches
1542,Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,it Serie A,20,1997,14.9,17.0,15.3,1.74,0.20,0.27,3.56,0.74,0.81,0.07,0.07,0.00,0.00,10.9,3.22,2.95,2.15,12.6,1.34,0.00,0.40,11.9,0.07,0.27,0.60,0.54,Matches
1543,Pablo Martinez\Pablo-Martinez,fr FRA,DF,Strasbourg,fr Ligue 1,29,1989,31.3,51.1,48.2,2.88,2.14,0.03,6.55,4.79,0.42,0.00,0.00,0.00,0.00,34.9,4.79,11.4,39.7,6.68,3.00,0.73,0.26,42.9,0.13,0.99,0.32,0.80,Matches
1544,Gelson Martins\Gelson-Martins,pt POR,FW,Atlético Madrid,es La Liga,23,1995,2.5,28.0,26.8,1.20,0.40,0.00,7.20,0.40,1.20,0.00,0.00,0.00,0.00,21.2,4.00,2.80,4.40,21.2,1.20,0.40,0.00,20.8,0.40,0.80,0.80,2.00,Matches
1545,Gelson Martins\Gelson-Martins,pt POR,FWMF,Monaco,fr Ligue 1,23,1995,15.4,34.5,34.2,0.32,0.00,0.13,8.44,0.71,3.77,0.00,0.00,0.00,0.00,24.3,5.52,4.74,2.27,30.3,1.23,0.32,0.13,25.3,0.06,0.26,0.71,2.60,Matches
1546,Adam Marušić\Adam-Marusic,me MNE,DFMF,Lazio,it Serie A,25,1992,23.5,41.8,34.9,6.94,0.21,0.09,7.32,1.02,2.43,0.04,0.00,0.00,0.00,26.4,7.19,8.21,3.32,28.7,2.30,6.68,0.21,34.2,0.09,0.38,0.68,1.32,Matches
1547,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,de Bundesliga,25,1993,11.0,44.5,44.1,0.45,0.45,0.00,8.18,1.18,0.09,0.00,0.00,0.00,0.00,29.7,6.27,8.55,8.82,31.3,3.55,0.00,0.27,36.5,0.27,0.73,0.73,0.55,Matches
1548,Andrea Masiello\Andrea-Masiello,it ITA,DF,Atalanta,it Serie A,32,1986,20.4,62.6,59.1,3.53,1.72,0.05,7.60,2.60,0.25,0.00,0.00,0.00,0.00,44.4,6.52,11.7,13.4,42.1,4.31,1.81,0.34,55.0,0.10,0.64,0.34,0.88,Matches
1549,Adam Masina\Adam-Masina,it ITA,DF,Watford,eng Premier League,24,1994,11.2,50.4,39.1,11.3,1.16,0.00,7.50,0.89,2.77,1.43,0.18,0.09,0.09,27.7,9.73,13.0,32.1,5.00,3.30,8.75,0.09,38.9,0.00,1.25,1.16,1.79,Matches
1550,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,29,1989,35.0,32.7,19.7,13.0,3.57,0.00,1.49,0.49,0.00,0.00,0.00,0.00,0.00,8.49,1.43,22.8,0.80,24.8,0.06,0.00,4.66,17.0,0.20,1.11,0.20,0.09,Matches
1551,Han-Noah Massengo\Han-Noah-Massengo,fr FRA,FWMF,Monaco,fr Ligue 1,17,2001,0.7,30.0,30.0,0.00,0.00,1.43,4.29,0.00,0.00,0.00,0.00,0.00,0.00,27.1,0.00,2.86,10.0,18.6,0.00,0.00,0.00,25.7,0.00,0.00,0.00,0.00,Matches
1552,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,eng Premier League,24,1993,19.5,56.0,46.6,9.38,0.77,0.15,7.95,1.85,1.85,0.00,0.00,0.00,0.00,37.0,8.51,10.5,42.5,2.56,1.74,8.62,0.10,45.0,0.21,1.64,0.72,1.90,Matches
1553,Jaime Mata\Jaime-Mata,es ESP,FWMF,Getafe,es La Liga,29,1988,27.0,25.6,25.1,0.48,0.04,0.11,7.00,0.70,2.04,0.00,0.00,0.00,0.00,13.2,6.33,6.04,3.67,17.0,2.26,0.04,0.52,15.7,0.11,0.70,0.67,1.96,Matches
1554,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,eng Premier League,30,1988,14.3,53.6,48.9,4.69,1.26,0.07,9.23,3.36,4.69,2.45,0.14,0.28,0.14,36.8,6.01,10.8,45.4,7.27,0.35,0.28,0.28,43.2,0.07,0.70,0.63,0.98,Matches
1555,Luca Matarese\Luca-Matarese,it ITA,FW,Frosinone,it Serie A,20,1998,0.2,20.0,20.0,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,15.0,0.00,0.00,0.00,0.00,Matches
1556,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,de Bundesliga,21,1997,27.6,17.2,15.2,1.96,0.00,0.00,4.13,0.29,1.05,0.00,0.00,0.00,0.00,10.4,3.55,3.19,3.04,9.96,2.28,0.00,0.36,11.9,0.11,0.22,0.51,0.54,Matches
1557,Christian Mathenia\Christian-Mathenia,de GER,GK,Nürnberg,de Bundesliga,26,1992,21.5,41.7,28.7,13.0,2.88,0.00,3.81,0.98,0.00,0.00,0.00,0.00,0.00,16.0,2.05,23.6,2.14,32.5,0.09,0.00,4.42,26.4,0.23,1.26,0.14,0.19,Matches
1558,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,eng Premier League,29,1988,27.1,66.3,64.2,2.10,1.92,0.07,11.5,2.51,0.33,0.00,0.00,0.00,0.00,51.8,6.01,8.52,52.8,8.60,3.51,0.15,0.30,58.3,0.26,0.85,0.66,0.89,Matches
1559,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,eng Premier League,26,1991,17.1,77.2,75.4,1.75,1.17,0.06,9.59,1.81,0.00,0.00,0.00,0.00,0.00,60.9,6.49,9.77,9.36,61.0,3.57,0.58,0.18,67.7,0.23,0.99,0.64,0.76,Matches
1560,Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,de Bundesliga,17,2000,2.1,17.1,17.1,0.00,0.00,0.00,5.24,0.00,1.90,0.00,0.00,0.00,0.00,11.9,3.33,1.90,2.38,14.3,0.00,0.00,0.00,12.9,0.00,0.00,0.00,1.90,Matches
