Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
790,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,eng Premier League,27,1991,22.8,61.1,3.68,17.5,28.8,18.2,1.01,52.1,0.70,1.05,66.7,0.75,0,37.6,200.0,96.1,38.6,793,90.1,0.70,0.61,Matches
791,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Fiorentina,it Serie A,22,1996,21.9,51.7,1.96,9.86,33.9,11.8,1.28,51.2,1.05,1.83,57.5,1.14,2,39.3,236.8,110.1,37.4,743,90.8,0.87,1.74,Matches
792,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,31,1986,24.7,42.7,1.98,11.2,28.2,4.49,0.28,42.3,0.24,0.28,85.7,0.24,0,23.8,88.7,34.8,23.8,535,91.0,0.40,0.65,Matches
793,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,27,1991,16.0,31.8,27.8,31.8,0.00,0.00,0.00,18.3,0.00,0.00,,0.00,0,11.1,66.9,46.9,7.00,109,97.3,0.00,0.00,Matches
794,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,31,1986,6.0,34.5,30.3,34.5,0.17,0.00,0.00,21.8,0.00,0.17,0.0,0.00,0,13.8,94.8,54.8,11.3,68,100.0,0.00,0.00,Matches
795,Borja Fernández\Borja-Fernandez,es ESP,MFDF,Valladolid,es La Liga,37,1981,9.3,53.3,4.62,18.7,32.3,4.95,1.18,52.2,0.22,0.22,100.0,0.22,0,29.8,132.4,59.0,33.5,280,89.7,0.97,0.22,Matches
796,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,29,1989,16.5,49.3,8.12,30.4,19.8,1.70,0.97,48.2,0.12,0.12,100.0,0.12,0,27.5,135.2,64.1,27.4,436,96.5,0.18,0.24,Matches
797,Joaquín Fernández\Joaquin-Fernandez,es ESP,DFMF,Valladolid,es La Liga,22,1996,9.3,43.5,6.24,21.8,21.5,2.04,0.97,42.5,0.11,0.11,100.0,0.11,0,24.1,122.4,44.7,24.6,219,95.6,0.11,0.11,Matches
798,Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,33,1985,26.4,89.0,3.79,19.5,59.6,16.9,0.80,87.9,0.30,0.68,44.4,0.45,0,68.1,347.5,201.1,68.5,1760,97.3,0.64,0.80,Matches
799,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,fr Ligue 1,23,1995,24.2,45.8,0.79,6.49,20.4,23.3,3.14,44.1,2.36,4.09,57.6,2.56,1,36.1,260.3,157.7,44.7,760,70.3,2.98,2.19,Matches
800,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,24,1994,6.0,65.0,8.67,27.3,37.5,3.33,1.00,62.0,0.17,0.50,33.3,0.17,0,39.5,224.2,116.7,41.5,244,98.0,0.33,0.17,Matches
801,David Ferreiro\David-Ferreiro,es ESP,FWMF,Huesca,es La Liga,30,1988,25.3,51.1,0.71,7.23,21.1,26.0,3.12,45.2,1.70,2.45,69.4,1.74,0,36.7,285.8,157.1,44.8,817,72.0,1.94,0.99,Matches
802,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FWMF,Espanyol,es La Liga,27,1991,2.3,32.6,1.74,3.04,13.0,17.0,5.65,31.3,0.00,0.00,,0.00,0,15.7,62.6,25.2,48.3,51,45.9,2.61,1.30,Matches
803,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Lyon,fr Ligue 1,26,1992,1.3,85.4,3.08,17.7,53.1,20.0,2.31,85.4,2.31,3.85,60.0,2.31,0,76.2,480.0,230.0,68.5,85,95.5,3.08,1.54,Matches
804,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Nîmes,fr Ligue 1,26,1992,20.8,61.8,0.72,11.3,41.8,15.0,1.11,60.8,1.54,2.55,60.4,1.59,1,46.9,336.0,187.4,46.2,846,88.0,1.30,1.54,Matches
805,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,de Bundesliga,36,1982,11.7,47.9,2.39,12.4,25.3,12.7,2.22,47.4,0.85,1.37,62.5,1.11,2,27.2,142.6,75.2,41.9,348,71.0,1.97,2.39,Matches
806,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,29,1989,14.8,33.2,0.88,1.96,16.7,15.5,6.08,30.5,0.74,1.35,55.0,0.74,1,20.0,110.1,62.8,46.1,345,50.6,2.23,1.76,Matches
807,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,eng Premier League,26,1991,29.0,56.8,0.66,3.38,28.5,28.6,6.34,55.9,1.86,2.69,69.2,2.07,5,47.2,220.8,111.1,60.8,1327,75.3,2.59,2.14,Matches
808,Junior Firpo\Junior-Firpo,es ESP,DFMF,Betis,es La Liga,21,1996,21.5,63.1,2.51,15.3,28.4,23.0,4.33,55.4,1.07,2.00,53.5,1.35,3,42.4,229.4,145.4,45.8,875,88.8,0.98,0.88,Matches
809,Mathieu Flamini\Mathieu-Flamini,fr FRA,MF,Getafe,es La Liga,34,1984,5.0,32.4,1.00,4.60,22.8,5.40,0.60,31.8,0.00,0.00,,0.00,0,15.2,50.2,10.0,18.6,76,81.7,0.40,0.60,Matches
810,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1.0,31.0,31.0,31.0,0.00,0.00,0.00,25.0,0.00,0.00,,0.00,0,21.0,53.0,20.0,20.0,20,100.0,0.00,0.00,Matches
811,Sergio Floccari\Sergio-Floccari,it ITA,FW,SPAL,it Serie A,36,1981,10.8,35.1,0.28,3.15,17.2,17.6,4.81,33.5,0.93,1.76,52.6,1.11,0,26.0,195.0,71.6,42.2,280,61.4,3.43,1.94,Matches
812,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFFW,Roma,it Serie A,27,1991,24.2,70.4,3.51,20.5,33.3,21.8,1.94,60.0,0.50,1.36,36.4,0.70,0,43.4,255.7,163.0,46.4,1012,90.2,0.54,0.37,Matches
813,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,eng Premier League,18,2000,3.7,75.4,0.27,4.32,38.9,38.4,7.84,74.3,2.43,4.05,60.0,2.43,0,58.9,355.7,193.5,73.0,228,84.4,0.81,0.81,Matches
814,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Guingamp,fr Ligue 1,25,1992,5.3,35.7,1.89,8.30,21.5,7.74,0.57,35.7,0.57,1.89,30.0,0.75,0,20.4,93.6,47.4,22.6,93,77.5,0.94,0.75,Matches
815,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Amiens,fr Ligue 1,25,1992,2.1,37.6,1.43,10.0,22.9,5.71,0.48,36.7,0.48,0.48,100.0,0.48,0,23.3,99.0,59.0,25.7,48,88.9,1.43,0.48,Matches
816,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,it Serie A,23,1995,29.3,51.0,1.23,9.62,29.8,15.4,2.18,50.5,2.25,3.14,71.7,2.39,1,43.8,299.9,144.0,44.0,1092,84.7,1.74,2.15,Matches
817,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,2000,1.8,62.2,7.78,32.2,31.7,1.67,0.00,56.1,0.56,0.56,100.0,0.56,0,37.2,131.7,56.1,33.3,58,96.7,0.56,0.00,Matches
818,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,19,1999,10.1,46.4,1.58,11.0,29.3,11.5,0.99,45.2,2.08,2.77,75.0,2.38,0,36.9,238.5,152.5,35.2,315,88.5,1.98,1.58,Matches
819,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,23,1994,32.0,54.3,3.28,19.5,24.5,13.5,0.44,44.2,0.63,1.03,60.6,0.63,0,29.1,170.3,91.0,29.9,846,88.3,0.75,0.41,Matches
820,Thomas Fontaine\Thomas-Fontaine,mg MAD,DFMF,Reims,fr Ligue 1,27,1991,4.7,51.9,9.57,33.6,20.2,1.70,0.43,50.9,0.43,0.43,100.0,0.43,0,32.8,147.0,74.5,31.7,147,98.7,0.00,0.43,Matches
821,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,34,1983,34.6,72.9,6.39,33.5,41.0,3.58,1.39,70.3,0.23,0.29,80.0,0.26,0,49.0,270.8,160.9,51.5,1747,98.1,0.09,0.29,Matches
822,Rui Fonte\Rui-Fonte,pt POR,FW,Lille,fr Ligue 1,28,1990,7.0,38.4,1.14,2.57,20.6,17.7,3.43,36.4,0.57,0.86,66.7,0.57,1,22.0,113.1,45.9,41.6,178,61.2,1.57,1.71,Matches
823,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,Villarreal,es La Liga,22,1996,27.5,56.9,1.42,8.25,28.9,24.1,2.69,55.7,1.89,3.31,57.1,2.07,4,43.7,236.2,124.7,54.7,1144,76.1,2.07,1.93,Matches
824,Emil Forsberg\Emil-Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,26,1991,13.9,49.9,0.50,3.60,26.5,25.3,3.38,45.3,1.58,2.73,57.9,1.65,1,38.6,235.6,138.6,47.2,503,76.7,2.59,1.94,Matches
825,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1.0,27.0,25.0,26.0,1.00,0.00,0.00,16.0,0.00,0.00,,0.00,0,9.00,64.0,32.0,7.00,7,100.0,0.00,0.00,Matches
826,Steven Fortes\Steven-Fortes,cv CPV,DF,Toulouse,fr Ligue 1,26,1992,1.5,46.0,11.3,32.7,14.7,0.67,0.00,44.7,0.00,0.00,,0.00,0,22.0,124.0,82.7,26.7,38,95.0,0.00,0.00,Matches
827,Iver Fossum\Iver-Fossum,no NOR,MFFW,Hannover 96,de Bundesliga,22,1996,5.1,57.5,1.57,12.9,31.0,16.5,1.37,51.0,0.39,0.59,66.7,0.39,0,34.7,141.6,64.3,40.8,178,85.6,0.59,0.98,Matches
828,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38.0,36.1,29.8,35.4,0.84,0.03,0.00,23.4,0.00,0.00,,0.00,0,15.3,92.3,59.4,11.3,429,99.5,0.00,0.00,Matches
829,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Fulham,eng Premier League,20,1998,8.8,62.4,4.20,21.6,30.9,13.7,0.91,56.0,1.02,1.36,75.0,1.02,0,42.4,220.8,126.9,43.0,359,95.0,0.80,0.45,Matches
830,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFFW,Getafe,es La Liga,25,1993,20.0,36.8,1.20,8.15,18.5,12.9,2.35,35.0,1.35,2.80,48.2,1.65,3,22.7,161.2,92.9,28.7,374,65.2,2.05,2.10,Matches
831,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,eng Premier League,20,1998,9.9,72.8,9.39,33.7,39.2,5.25,0.71,70.3,2.22,2.42,91.7,2.22,2,50.8,289.7,172.4,49.6,472,96.1,0.71,0.81,Matches
832,Raphael Framberger\Raphael-Framberger,de GER,DFMF,Augsburg,de Bundesliga,22,1995,6.1,56.6,3.77,15.1,26.4,19.2,0.98,46.1,1.15,1.48,77.8,1.15,0,31.0,262.5,143.8,31.0,163,86.2,0.82,1.31,Matches
833,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,33,1985,13.7,70.5,6.28,27.4,31.8,14.6,0.95,60.8,0.29,0.44,66.7,0.29,0,36.7,172.3,81.7,43.6,540,90.3,0.80,0.58,Matches
834,Mike Frantz\Mike-Frantz,de GER,MFFW,Freiburg,de Bundesliga,31,1986,24.6,35.6,1.42,9.59,19.3,8.86,1.54,34.0,0.16,0.41,40.0,0.20,0,22.6,123.0,62.6,30.0,556,75.2,1.14,0.77,Matches
835,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,eng Premier League,24,1994,35.2,51.3,1.08,7.22,20.5,26.9,3.55,45.6,0.63,1.25,50.0,0.71,1,37.4,228.0,136.8,45.3,1274,79.9,1.25,1.39,Matches
836,Pierluigi Frattali\Pierluigi-Frattali,it ITA,GK,Parma,it Serie A,32,1985,1.0,42.0,41.0,42.0,0.00,0.00,0.00,27.0,0.00,0.00,,0.00,0,17.0,44.0,26.0,14.0,14,100.0,0.00,0.00,Matches
837,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,25,1993,11.6,79.7,2.07,17.6,53.1,14.7,0.95,77.4,0.95,1.72,55.0,1.12,2,59.7,296.6,150.1,60.1,647,92.8,1.21,1.47,Matches
838,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,eng Premier League,25,1992,12.1,57.6,5.12,20.2,26.4,13.9,1.49,49.3,0.66,0.99,66.7,0.66,0,30.2,172.6,104.5,32.7,359,90.7,0.58,0.41,Matches
839,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,26,1992,33.6,79.4,1.93,13.8,48.6,23.7,2.02,76.7,1.07,1.55,69.2,1.16,0,59.6,368.0,195.0,60.4,1878,92.5,1.13,1.37,Matches
840,Nicolas Frey\Nicolas-Frey,fr FRA,DF,Chievo,it Serie A,34,1984,2.5,60.0,10.0,26.4,29.2,5.20,0.00,50.0,0.00,0.00,,0.00,0,32.0,110.8,57.2,31.2,77,98.7,0.00,0.00,Matches
841,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,20,1998,5.3,64.0,6.42,23.2,36.4,6.04,0.19,57.5,0.19,0.57,33.3,0.19,0,39.6,181.5,87.0,39.8,203,96.2,0.38,0.19,Matches
842,Alexander Fuchs\Alexander-Fuchs,de GER,MF,Nürnberg,de Bundesliga,21,1997,7.3,43.7,1.37,8.49,23.6,14.5,1.78,43.6,0.96,1.64,58.3,0.96,0,33.8,189.2,104.9,36.0,215,81.7,1.37,1.37,Matches
843,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,32,1986,2.3,78.7,3.04,20.9,29.6,31.3,0.87,67.0,0.43,0.43,100.0,0.43,0,50.0,171.3,104.8,52.2,107,89.2,1.30,0.87,Matches
844,Javi Fuego\Javi-Fuego,es ESP,MF,Villarreal,es La Liga,34,1984,2.6,63.8,5.38,18.1,41.5,6.15,0.00,60.4,1.15,1.54,75.0,1.15,0,37.3,143.1,61.5,41.9,98,89.9,0.38,0.77,Matches
845,Angelo Fulgini\Angelo-Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,21,1996,18.2,58.1,1.37,10.4,28.1,24.0,3.79,55.0,2.03,3.63,56.1,2.09,2,44.1,253.1,144.2,49.5,733,81.4,1.81,2.91,Matches
846,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Hannover 96,de Bundesliga,25,1993,12.4,42.8,1.05,2.58,23.9,18.7,4.76,40.0,0.48,1.05,46.2,0.73,0,23.5,124.0,68.5,52.6,418,64.1,2.74,1.85,Matches
847,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DFMF,Villarreal,es La Liga,27,1991,29.2,53.2,7.19,28.3,25.3,3.12,0.86,52.0,0.51,0.68,75.0,0.55,0,32.6,208.3,112.4,30.9,877,97.2,0.17,0.24,Matches
848,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FWMF,Southampton,eng Premier League,26,1991,5.3,33.2,0.75,5.09,14.2,17.2,3.40,32.8,0.57,1.89,30.0,0.94,0,22.1,127.5,61.9,43.6,122,52.8,0.57,0.19,Matches
849,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Sampdoria,it Serie A,26,1991,9.0,45.6,0.78,2.56,18.4,26.9,4.89,42.4,1.00,1.44,69.2,1.11,1,32.6,162.9,70.7,54.3,317,64.8,2.11,1.33,Matches
850,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MFFW,Eint Frankfurt,de Bundesliga,23,1995,18.1,45.4,0.77,6.30,25.1,18.2,2.82,44.0,1.44,2.71,53.1,1.66,2,31.9,216.0,131.6,36.2,515,78.6,1.71,1.22,Matches
851,Gianluca Gaetano\Gianluca-Gaetano,it ITA,FW,Napoli,it Serie A,18,2000,0.1,160.0,0.00,20.0,30.0,110.0,30.0,160.0,0.00,0.00,,0.00,0,100.0,820.0,390.0,160.0,14,87.5,10.0,20.0,Matches
852,Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,24,1994,12.1,78.7,2.40,13.0,50.4,20.3,2.81,77.7,0.66,0.99,66.7,0.66,0,54.6,265.5,149.4,66.0,724,90.7,1.65,1.16,Matches
853,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,28,1990,33.8,54.0,9.82,28.0,23.5,5.53,0.74,48.7,0.24,0.38,61.5,0.27,2,28.3,149.0,87.7,27.4,893,96.5,0.47,0.21,Matches
854,Milan Gajić\Milan-Gajic,rs SRB,DF,Bordeaux,fr Ligue 1,22,1996,1.0,61.0,6.00,25.0,25.0,13.0,1.00,49.0,0.00,1.00,0.0,0.00,0,32.0,122.0,57.0,35.0,31,88.6,0.00,3.00,Matches
855,Javi Galán\Javi-Galan,es ESP,DFMF,Huesca,es La Liga,23,1994,16.0,53.9,3.00,16.9,24.9,16.3,1.56,43.6,1.44,2.81,51.1,1.63,0,30.0,237.9,157.4,28.5,382,83.8,1.13,1.56,Matches
856,Sam Gallagher\Sam-Gallagher,eng ENG,FW,Southampton,eng Premier League,22,1995,0.4,37.5,5.00,7.50,17.5,12.5,0.00,37.5,0.00,0.00,,0.00,0,10.0,25.0,20.0,87.5,9,25.7,2.50,5.00,Matches
857,Álex Gallar\Alex-Gallar,es ESP,MFFW,Huesca,es La Liga,26,1992,11.2,54.2,1.16,8.39,27.0,24.0,2.68,48.2,2.50,4.64,53.8,2.68,3,42.0,270.5,153.4,47.5,410,77.1,2.41,1.96,Matches
858,Enric Gallego\Enric-Gallego,es ESP,FW,Huesca,es La Liga,31,1986,17.1,36.1,1.81,2.87,18.4,16.7,4.15,34.2,1.11,2.40,46.3,1.23,3,19.9,105.0,57.2,52.7,415,46.1,3.80,1.52,Matches
859,Álex Gálvez\Alex-Galvez,es ESP,DF,Rayo Vallecano,es La Liga,29,1989,15.7,54.6,7.71,34.0,21.8,1.21,0.70,51.7,0.13,0.13,100.0,0.13,0,30.4,153.8,76.8,29.5,456,98.5,0.06,0.00,Matches
860,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,es La Liga,31,1987,17.9,34.3,0.34,2.12,15.0,19.7,6.09,32.5,0.78,1.68,46.7,0.89,0,24.1,182.0,103.0,47.4,469,55.3,2.23,1.73,Matches
861,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Everton,eng Premier League,28,1989,31.4,67.8,2.64,16.4,44.5,11.5,0.57,66.5,0.70,0.92,75.9,0.73,1,47.1,271.2,122.1,43.9,1302,94.4,0.57,1.05,Matches
862,Ignatius Ganago\Ignatius-Ganago,cm CMR,FW,Nice,fr Ligue 1,19,1999,11.5,29.0,0.78,2.96,13.9,13.5,5.39,27.7,1.65,2.43,67.9,1.83,0,22.5,138.2,76.5,38.3,262,59.4,2.17,1.39,Matches
863,Cristian Ganea\Cristian-Ganea,ro ROU,MF,Athletic Club,es La Liga,26,1992,0.5,32.0,4.00,8.00,10.0,14.0,0.00,30.0,0.00,0.00,,0.00,0,18.0,70.0,40.0,20.0,8,80.0,2.00,0.00,Matches
864,Ganso\Ganso,br BRA,MFFW,Amiens,fr Ligue 1,28,1989,5.8,65.5,0.86,6.21,40.7,22.1,0.52,59.0,1.03,1.38,75.0,1.03,0,50.0,207.9,84.8,53.3,274,88.7,1.90,1.38,Matches
865,Ezequiel Garay\Ezequiel-Garay,ar ARG,DF,Valencia,es La Liga,31,1986,23.7,55.9,8.44,29.7,27.2,2.62,1.10,54.0,0.04,0.08,50.0,0.04,0,32.3,224.1,115.7,34.7,800,97.3,0.08,0.04,Matches
866,Borja Garcés\Borja-Garces,es ESP,FWMF,Atlético Madrid,es La Liga,18,1999,0.2,45.0,0.00,0.00,5.00,40.0,20.0,45.0,0.00,0.00,,0.00,0,35.0,120.0,45.0,30.0,6,100.0,5.00,0.00,Matches
867,Alberto García\Alberto-Garcia,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17.0,34.2,30.1,34.1,0.29,0.00,0.00,23.4,0.00,0.00,,0.00,0,16.6,89.3,48.5,12.3,208,99.5,0.06,0.00,Matches
868,Aleix García\Aleix-Garcia,es ESP,MF,Girona,es La Liga,21,1997,18.5,70.1,1.62,14.6,42.1,17.0,0.54,65.1,0.86,1.51,57.1,0.92,0,50.3,225.6,104.3,52.8,890,91.1,0.49,1.24,Matches
869,Álvaro García\Alvaro-Garcia,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,19.6,35.3,1.58,7.04,12.1,18.7,3.88,34.5,0.61,1.48,41.4,0.66,1,25.1,187.1,106.5,35.6,451,64.7,1.33,1.07,Matches
870,Borja García\Borja-Garcia,es ESP,FWMF,Girona,es La Liga,27,1990,29.2,58.8,0.75,9.11,37.7,16.3,1.51,57.8,1.47,2.33,63.2,1.64,2,47.7,236.6,113.7,54.2,1288,81.3,2.12,1.68,Matches
871,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,es La Liga,28,1990,27.5,58.9,3.02,15.2,40.8,5.49,0.07,57.6,0.15,0.33,44.4,0.18,1,36.0,138.7,66.9,37.3,974,95.0,0.15,0.40,Matches
872,Javi García\Javi-Garcia,es ESP,DFMF,Betis,es La Liga,31,1987,5.8,86.6,8.79,28.6,58.8,3.79,0.34,85.5,0.86,0.86,100.0,0.86,1,66.0,367.1,194.0,68.8,391,98.0,0.17,0.52,Matches
873,Manu García\Manu-Garcia,es ESP,MF,Alavés,es La Liga,32,1986,25.9,48.8,3.24,12.5,30.1,8.03,1.74,48.1,0.50,0.73,68.4,0.50,2,26.5,108.8,49.5,32.4,694,82.8,0.85,1.00,Matches
874,Manu García\Manu-Garcia,es ESP,MF,Toulouse,fr Ligue 1,20,1998,20.5,57.2,0.78,8.78,34.9,18.1,1.07,56.8,2.05,3.17,64.6,2.29,2,47.6,245.4,134.0,50.7,905,87.0,1.66,1.46,Matches
875,Raúl García\Raul-Garcia,es ESP,MFFW,Athletic Club,es La Liga,32,1986,26.3,50.7,1.52,5.89,25.8,21.3,4.52,50.1,0.57,1.18,48.4,0.68,2,27.8,126.7,61.4,50.2,900,68.1,2.59,1.22,Matches
876,Raúl García\Raul-Garcia,es ESP,DF,Girona,es La Liga,29,1989,9.4,66.9,4.04,24.7,30.6,16.2,1.28,54.4,1.06,1.49,71.4,1.17,0,36.9,238.3,141.3,37.7,317,89.5,1.06,0.53,Matches
877,Raúl García\Raul-Garcia,es ESP,DF,Leganés,es La Liga,29,1989,4.2,42.4,5.95,20.2,19.0,5.00,0.24,35.0,0.24,0.24,100.0,0.24,0,16.4,113.6,56.7,15.5,61,93.8,0.71,0.48,Matches
878,Sergio García\Sergio-Garcia,es ESP,FWMF,Espanyol,es La Liga,35,1983,16.5,43.1,0.55,4.55,18.7,24.4,5.03,40.2,1.45,2.61,55.8,1.58,3,33.8,218.5,133.0,47.4,532,68.0,2.06,2.91,Matches
879,James Garner\James-Garner,eng ENG,MF,Manchester Utd,eng Premier League,17,2001,0.0,1,1,1,0,0,0,1,0,0,,0,0,1,19,0,0,0,,0,0,Matches
880,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,es La Liga,27,1990,28.9,56.7,4.33,18.6,26.5,14.7,2.28,47.9,0.45,1.11,40.6,0.55,3,29.8,141.3,87.8,34.5,872,87.6,0.48,0.14,Matches
881,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,26,1992,3.0,37.7,34.7,37.3,0.33,0.00,0.00,27.7,0.00,0.00,,0.00,0,17.7,46.0,18.7,18.3,55,100.0,0.00,0.00,Matches
882,Marcello Gazzola\Marcello-Gazzola,it ITA,DFMF,Parma,it Serie A,33,1985,10.2,46.6,2.45,13.4,20.6,14.5,0.59,40.0,0.69,1.47,46.7,0.69,1,23.6,118.8,54.6,30.6,273,87.5,0.20,0.39,Matches
883,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Mainz 05,de Bundesliga,22,1995,29.7,56.3,2.12,12.2,35.8,13.1,0.91,55.1,1.58,2.83,56.0,1.72,1,42.9,297.7,158.9,40.3,1061,88.6,1.08,1.75,Matches
884,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38.0,30.8,28.8,30.7,0.08,0.03,0.00,19.9,0.00,0.00,,0.00,0,13.3,61.2,33.7,11.2,422,99.1,0.00,0.00,Matches
885,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,31,1986,31.3,64.6,3.42,16.6,32.2,19.4,1.63,55.0,0.51,0.73,69.6,0.51,0,37.2,161.9,89.0,42.9,1175,87.6,0.73,0.77,Matches
886,Dennis Geiger\Dennis-Geiger,de GER,MFFW,Hoffenheim,de Bundesliga,20,1998,2.7,63.7,1.48,11.5,39.3,18.5,2.22,60.0,0.74,1.11,66.7,0.74,0,48.1,258.9,152.6,52.2,124,87.9,0.00,1.48,Matches
887,Jérémy Gélin\Jeremy-Gelin,fr FRA,DFMF,Rennes,fr Ligue 1,21,1997,14.2,64.0,3.17,24.4,39.3,3.80,0.28,62.4,0.49,0.63,77.8,0.49,0,46.1,182.5,105.4,44.3,620,98.6,0.14,0.07,Matches
888,Romain Genevois\Romain-Genevois,ht HAI,DF,Caen,fr Ligue 1,30,1987,4.0,50.8,5.75,28.0,21.5,3.75,0.00,46.3,0.25,0.25,100.0,0.25,0,27.8,108.0,57.3,29.5,109,92.4,0.50,0.25,Matches
889,Christian Gentner\Christian-Gentner,de GER,MF,Stuttgart,de Bundesliga,32,1985,22.4,58.1,2.19,12.5,31.3,17.5,2.23,57.1,0.54,1.34,40.0,0.58,0,37.0,197.9,97.7,44.2,865,87.4,1.56,0.89,Matches
890,Yannick Gerhardt\Yannick-Gerhardt,de GER,MF,Wolfsburg,de Bundesliga,24,1994,27.3,49.7,1.94,9.41,26.6,17.5,3.22,48.7,0.62,1.17,53.1,0.66,3,34.1,227.6,122.2,42.1,920,80.0,1.47,1.58,Matches
891,Valère Germain\Valere-Germain,fr FRA,FW,Marseille,fr Ligue 1,28,1990,24.1,35.1,1.41,3.69,17.3,14.7,4.56,33.7,0.08,0.37,22.2,0.08,1,18.8,60.4,19.9,44.8,593,54.9,1.91,0.79,Matches
892,Gerson\Gerson,br BRA,MFFW,Fiorentina,it Serie A,21,1997,27.0,54.8,1.74,9.63,34.0,15.6,2.33,53.9,1.04,1.74,59.6,1.11,1,40.9,254.9,142.2,44.1,1005,84.3,1.15,1.89,Matches
893,Gervinho\Gervinho,ci CIV,FW,Parma,it Serie A,31,1987,25.6,33.6,0.23,4.65,16.6,17.7,4.41,33.2,3.13,6.13,51.0,3.48,7,30.9,316.8,219.8,39.5,641,63.3,2.58,2.19,Matches
894,Willem Geubbels\Willem-Geubbels,fr FRA,MF,Monaco,fr Ligue 1,16,2001,0.1,40.0,0.00,0.00,10.0,30.0,0.00,40.0,0.00,0.00,,0.00,0,30.0,110.0,0.00,30.0,2,66.7,0.00,0.00,Matches
