Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1212,Elias Kachunga\Elias-Kachunga,cd COD,FWMF,Huddersfield,eng Premier League,26,1992,13.1,35.6,1.07,5.95,16.8,15.6,2.37,34.8,1.37,2.75,50.0,1.45,2,24.7,183.3,91.7,39.5,306,59.1,1.30,1.37,Matches
1213,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DFMF,Hoffenheim,de Bundesliga,26,1992,27.9,60.3,3.15,15.3,27.8,20.5,2.37,52.5,0.36,0.65,55.6,0.36,0,34.9,187.5,115.9,42.1,1049,89.3,0.75,0.57,Matches
1214,Shinji Kagawa\Shinji-Kagawa,jp JPN,MF,Dortmund,de Bundesliga,29,1989,1.1,78.2,0.00,1.82,53.6,25.5,5.45,77.3,0.00,0.00,,0.00,0,60.9,216.4,85.5,78.2,78,90.7,0.00,2.73,Matches
1215,Florian Kainz\Florian-Kainz,at AUT,FW,Werder Bremen,de Bundesliga,25,1992,4.1,63.9,1.22,8.78,28.3,32.0,2.68,59.5,1.95,4.15,47.1,2.20,1,48.5,280.7,158.5,55.1,190,84.1,1.46,2.44,Matches
1216,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Rayo Vallecano,es La Liga,27,1991,8.0,45.0,0.88,6.00,20.4,21.8,2.88,41.9,2.88,4.13,69.7,3.00,2,35.6,221.6,120.1,42.6,261,76.5,2.38,2.25,Matches
1217,Nikola Kalinić\Nikola-Kalinic,hr CRO,FW,Atlético Madrid,es La Liga,30,1988,7.1,23.5,0.14,1.69,9.15,13.4,4.93,23.4,0.56,1.13,50.0,0.56,1,14.9,70.8,25.5,45.6,127,39.2,3.66,0.56,Matches
1218,Salomon Kalou\Salomon-Kalou,ci CIV,FWMF,Hertha BSC,de Bundesliga,32,1985,25.7,39.7,0.93,4.51,20.4,18.6,4.32,38.6,2.72,3.62,75.3,2.80,1,31.6,230.2,144.4,45.2,756,65.1,2.53,2.45,Matches
1219,Samuel Kalu\Samuel-Kalu,ng NGA,FW,Bordeaux,fr Ligue 1,20,1997,14.2,56.4,0.70,7.04,22.7,30.9,4.37,52.0,4.51,6.83,66.0,4.72,0,47.7,322.5,207.3,52.8,572,76.3,2.68,3.80,Matches
1220,François Kamano\Francois-Kamano,gn GUI,FWMF,Bordeaux,fr Ligue 1,22,1996,28.5,46.2,0.39,5.79,24.5,21.4,3.68,45.2,1.75,3.33,52.6,2.07,4,39.0,280.7,173.4,47.2,1006,74.9,2.42,2.14,Matches
1221,Aboubakar Kamara\Aboubakar-Kamara,fr FRA,FWMF,Fulham,eng Premier League,23,1995,7.7,46.8,1.04,5.45,16.5,28.7,5.06,46.0,2.08,4.29,48.5,2.60,0,37.1,241.0,142.1,48.7,262,69.9,3.38,1.69,Matches
1222,Boubacar Kamara\Boubacar-Kamara,fr FRA,DF,Marseille,fr Ligue 1,18,1999,26.8,62.8,5.52,35.1,29.7,3.36,0.63,60.2,0.41,0.52,78.6,0.49,0,41.3,236.9,140.9,41.3,1078,97.5,0.30,0.34,Matches
1223,Hassane Kamara\Hassane-Kamara,gm GAM,DFFW,Reims,fr Ligue 1,23,1994,10.3,58.7,3.88,22.5,30.9,10.5,1.07,51.3,2.43,3.30,73.5,2.72,1,39.0,305.9,186.1,36.8,332,87.6,0.97,1.55,Matches
1224,Marcin Kamiński\Marcin-Kaminski,pl POL,DF,Düsseldorf,de Bundesliga,26,1992,27.0,51.5,7.15,31.1,22.5,1.74,0.63,50.0,0.04,0.04,100.0,0.04,0,33.1,186.5,106.4,33.0,880,98.8,0.15,0.04,Matches
1225,Patrick Kammerbauer\Patrick-Kammerbauer,de GER,FW,Freiburg,de Bundesliga,21,1997,0.0,5,1,1,1,3,0,5,0,0,,0,0,3,14,1,4,4,100.0,0,0,Matches
1226,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,de Bundesliga,27,1990,23.5,73.4,1.11,9.70,45.4,23.8,1.40,67.8,1.49,1.74,85.4,1.49,1,53.2,330.6,175.4,54.1,1155,90.9,0.81,1.11,Matches
1227,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,eng Premier League,25,1993,26.9,34.8,0.67,1.75,16.4,19.0,5.99,33.5,1.60,2.57,62.3,1.67,3,27.4,181.7,92.6,47.0,743,58.8,3.12,2.08,Matches
1228,Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,fr Ligue 1,20,1998,5.5,29.1,0.36,1.27,11.1,17.6,6.55,28.4,0.73,0.91,80.0,0.73,0,20.5,81.3,33.3,44.7,127,51.6,4.18,2.36,Matches
