Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,85,2.92,72,0,7,3,3,9,0.31,8,0,0,1,0,0,Matches
65,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2.0,4,2.05,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,20.3,61,3.01,47,1,5,3,5,5,0.25,3,0,0,1,1,0,Matches
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,27,3.20,22,0,1,2,2,2,0.24,0,0,0,1,1,0,Matches
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6.0,5,0.84,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,61,1.99,52,1,0,5,3,11,0.36,6,0,0,3,2,0,Matches
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,14,2.21,11,2,0,1,0,1,0.16,0,0,0,1,0,0,Matches
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,6,0.51,6,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,4,0.14,2,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,19,0.59,14,4,0,1,0,1,0.03,1,0,0,0,0,0,Matches
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18.0,55,3.05,51,1,0,1,2,10,0.55,10,0,0,0,0,0,Matches
